Dataset,Accuracy,F1,Rounds
Yoga,0.5462666666666667,0.6301667353340796,5.8
WormsTwoClass,0.7558441558441559,0.8020616631325502,3.4
Worms,0.6753246753246753,0.5795367210629769,3.0
WordSynonyms,0.45579937304075235,0.2739702007066336,3.0
Wine,0.5,0.26666666666666666,6.0
Wafer,0.9734587929915639,0.9852455860132132,3.6
UWaveGestureLibraryZ,0.6786711334450028,0.6721637355455817,3.0
UWaveGestureLibraryY,0.648464544946957,0.6425479085170893,3.0
UWaveGestureLibraryX,0.7496370742601899,0.7484471121532243,3.0
UWaveGestureLibraryAll,0.8703517587939699,0.869719387211844,2.8
UMD,0.7569444444444444,0.7316280301979962,3.0
TwoPatterns,0.94935,0.9493884203689902,3.4
TwoLeadECG,0.676558384547849,0.6674979048720523,5.2
Trace,0.964,0.9645775274992185,2.8
ToeSegmentation2,0.7938461538461539,0.5819463869463869,3.8
ToeSegmentation1,0.6824561403508772,0.6193110390228227,4.0
SyntheticControl,0.964,0.9639236550191522,3.0
Symbols,0.9291457286432161,0.9292025716699187,4.8
SwedishLeaf,0.80704,0.801765184078052,2.8
Strawberry,0.8643243243243244,0.8942825079408065,3.4
StarLightCurves,0.9607333657115105,0.9434447878322791,3.8
SonyAIBORobotSurface2,0.7628541448058762,0.8282983230582354,4.4
SonyAIBORobotSurface1,0.5707154742096506,0.6563187052335125,5.6
SmoothSubspace,0.7813333333333333,0.7738175982225053,3.6
SmallKitchenAppliances,0.7690666666666667,0.7649197724305793,3.6
ShapesAll,0.635,0.6171450812683986,3.2
ShapeletSim,0.5088888888888888,0.5349206349206349,5.2
ShakeGestureWiimoteZ,0.1,0.01818181818181818,5.2
SemgHandSubjectCh2,0.6817777777777778,0.6638614856680838,2.2
SemgHandMovementCh2,0.33111111111111113,0.2934774272414263,3.0
SemgHandGenderCh2,0.6886666666666666,0.5715439120828192,8.2
ScreenType,0.39466666666666667,0.39048922678945636,4.4
Rock,0.528,0.5506640303718103,3.6
RefrigerationDevices,0.4768,0.4638160285840719,4.8
ProximalPhalanxTW,0.7892682926829269,0.41884935314828214,2.4
ProximalPhalanxOutlineCorrect,0.7814432989690722,0.8523670857303065,5.0
