Dataset,Accuracy,F1,Rounds
GestureMidAirD2,0.046153846153846156,0.01569077688480674,12.6
GestureMidAirD1,0.04307692307692308,0.01056257175660161,11.0
Fungi,0.8225806451612903,0.7705385198252612,17.6
FreezerSmallTrain,0.8156491228070175,0.799987648585562,41.4
FreezerRegularTrain,0.960280701754386,0.9582737102137404,28.4
FordB,0.7222222222222222,0.6474511191298432,39.6
FordA,0.8662121212121212,0.8769074058976489,36.2
Fish,0.5542857142857143,0.5217544574305806,11.4
FiftyWords,0.4167032967032967,0.29803065116930205,23.8
FacesUCR,0.5252682926829269,0.4175479618714104,36.6
FaceFour,0.8159090909090909,0.7994825357402228,51.2
FaceAll,0.55301775147929,0.5635137019293746,30.0
EthanolLevel,0.2812,0.17906993943972163,17.6
EOGVerticalSignal,0.4066298342541436,0.3720633054150682,19.2
EOGHorizontalSignal,0.4066298342541436,0.3733475299315634,20.4
ElectricDevices,0.5130592659836597,0.42495403453661595,22.8
ECGFiveDays,0.7874564459930313,0.6919880022903464,36.4
ECG5000,0.8494666666666666,0.4743207134920293,38.8
ECG200,0.814,0.857052606305155,45.8
Earthquakes,0.7122302158273381,0.16801864801864802,13.6
DodgerLoopWeekend,0.7391304347826086,0.0,35.2
DodgerLoopGame,0.6144927536231883,0.645190348779769,17.2
DodgerLoopDay,0.4075,0.3310945754510459,35.4
DistalPhalanxTW,0.5539568345323741,0.3801473227308077,20.0
DistalPhalanxOutlineCorrect,0.736231884057971,0.7919480043921292,50.4
DistalPhalanxOutlineAgeGroup,0.6431654676258992,0.5925145360620666,43.2
DiatomSizeReduction,0.8254901960784313,0.7871197978284898,11.2
Crop,0.09267857142857143,0.020590443993574323,18.8
CricketZ,0.4866666666666667,0.4312753017590701,32.2
CricketY,0.43025641025641026,0.3898057062766792,26.0
CricketX,0.42205128205128206,0.40162258500652676,25.0
Computers,0.7464,0.7569931188170849,31.0
Coffee,0.85,0.7613506493506493,20.4
CinCECGTorso,0.568695652173913,0.5655829878592619,47.2
ChlorineConcentration,0.42192708333333334,0.2871130311582458,47.4
Chinatown,0.8915451895043732,0.9214928309807956,58.2
CBF,0.9326666666666666,0.9321258710248918,93.0
Car,0.7333333333333333,0.7251401853165528,19.2
BME,0.8853333333333333,0.8749714202511302,51.6
BirdChicken,0.62,0.63001295379812,61.6
BeetleFly,0.78,0.8140042566129523,49.4
Beef,0.42,0.35695763696782373,36.0
ArrowHead,0.6331428571428571,0.5791801738896715,34.2
AllGestureWiimoteZ,0.1,0.01818181818181818,10.0
AllGestureWiimoteY,0.1,0.01818181818181818,10.0
AllGestureWiimoteX,0.1,0.01818181818181818,10.0
Adiac,0.2603580562659846,0.179784687910398,13.0
ACSF1,0.47000000000000003,0.4022404466304056,14.8
