Dataset,Accuracy,F1,Rounds
Yoga,0.6645333333333333,0.6799339597999482,38.0
WormsTwoClass,0.7012987012987013,0.7066276989381555,41.6
Worms,0.5428571428571428,0.44706718650206634,23.4
WordSynonyms,0.35987460815047023,0.2101241623252447,20.0
Wine,0.5,0.26666666666666666,9.8
Wafer,0.9673588578844906,0.981864136360682,45.2
UWaveGestureLibraryZ,0.6599664991624791,0.6489915207809243,17.8
UWaveGestureLibraryY,0.6185371300949191,0.6026157245903223,26.2
UWaveGestureLibraryX,0.7329424902289224,0.7223064608510766,23.8
UWaveGestureLibraryAll,0.8178671133445002,0.8044937359492279,21.8
UMD,0.8083333333333333,0.7949124478512217,45.2
TwoPatterns,0.9869,0.9869627072518952,45.4
TwoLeadECG,0.7945566286215979,0.7657186369398696,30.2
Trace,0.978,0.9791052388112121,18.0
ToeSegmentation2,0.816923076923077,0.5976507958661836,66.8
ToeSegmentation1,0.7175438596491228,0.6702621793844964,45.0
SyntheticControl,0.9133333333333333,0.8992527957203242,40.8
Symbols,0.948140703517588,0.9475683707860594,27.4
SwedishLeaf,0.60672,0.5578602686147585,12.2
Strawberry,0.8535135135135135,0.8794831665613452,36.8
StarLightCurves,0.9643273433705682,0.9439408341671177,22.8
SonyAIBORobotSurface2,0.7926547743966422,0.8439697589132555,35.6
SonyAIBORobotSurface1,0.6372712146422629,0.6981091081461195,36.6
SmoothSubspace,0.8333333333333334,0.8298196008535472,80.4
SmallKitchenAppliances,0.7194666666666667,0.703786700214548,29.4
ShapesAll,0.5336666666666666,0.5036153435622837,24.8
ShapeletSim,0.5166666666666667,0.5402390438247012,9.8
ShakeGestureWiimoteZ,0.1,0.01818181818181818,11.0
SemgHandSubjectCh2,0.6346666666666666,0.6001386254979904,28.2
SemgHandMovementCh2,0.2831111111111111,0.19678830157409063,46.4
SemgHandGenderCh2,0.7086666666666667,0.5820571026047605,20.6
ScreenType,0.39093333333333335,0.334256562389689,41.2
Rock,0.548,0.547402801876486,33.0
RefrigerationDevices,0.4341333333333333,0.3890209280234399,54.8
ProximalPhalanxTW,0.6165853658536585,0.32711868413935247,10.6
ProximalPhalanxOutlineCorrect,0.6549828178694158,0.6542950001340443,44.6
ProximalPhalanxOutlineAgeGroup,0.7414634146341463,0.6338382017568126,41.6
PowerCons,0.9366666666666666,0.9366566849914596,44.0
Plane,0.9885714285714285,0.988905433646813,16.0
PLAID,0.061452513966480445,0.010526315789473682,10.4
PigCVP,0.11057692307692307,0.0931770488438059,14.2
PigArtPressure,0.2951923076923077,0.25286714853121084,12.0
PigAirwayPressure,0.06442307692307693,0.04377397648223782,16.6
PickupGestureWiimoteZ,0.1,0.01818181818181818,11.2
Phoneme,0.1460970464135021,0.06102554799805018,20.0
PhalangesOutlinesCorrect,0.6913752913752913,0.7304797224627126,38.6
OSULeaf,0.5396694214876033,0.5003647471346439,18.4
OliveOil,0.2866666666666667,0.1087912087912088,10.8
NonInvasiveFetalECGThorax2,0.3223409669211196,0.2739666312697352,4.2
NonInvasiveFetalECGThorax1,0.2408142493638677,0.19112297222352756,5.0
MoteStrain,0.8541533546325879,0.830985703786206,45.0
MixedShapesSmallTrain,0.8282886597938144,0.8254710928039792,27.6
MixedShapesRegularTrain,0.8575670103092783,0.8554390387334433,14.8
MiddlePhalanxTW,0.41168831168831166,0.2780769313017112,14.2
MiddlePhalanxOutlineCorrect,0.6082474226804124,0.5800148591762962,39.0
MiddlePhalanxOutlineAgeGroup,0.4584415584415584,0.3807564772435581,58.0
MelbournePedestrian,0.7363673636736368,0.7204311377085096,17.8
MedicalImages,0.5752631578947368,0.4168851893121926,20.6
Meat,0.45999999999999996,0.3412217412217412,31.6
Mallat,0.5222174840085287,0.44350293078446706,20.0
Lightning7,0.6383561643835616,0.5993242457127752,56.4
Lightning2,0.6754098360655738,0.7212149068936832,30.4
LargeKitchenAppliances,0.6826666666666666,0.654249774511594,30.2
ItalyPowerDemand,0.9300291545189504,0.9254349369790006,62.2
InsectWingbeatSound,0.5174747474747474,0.4741923828280464,28.2
InsectEPGSmallTrain,0.642570281124498,0.6094974590075827,56.6
InsectEPGRegularTrain,0.7429718875502008,0.7012764740787761,38.0
InlineSkate,0.2298181818181818,0.18152727364990803,13.8
HouseTwenty,0.907563025210084,0.8855083181312237,47.0
Herring,0.54375,0.29615760338651903,13.8
Haptics,0.3233766233766234,0.26294183545201105,22.8
HandOutlines,0.8140540540540541,0.8399388801953125,49.0
Ham,0.7047619047619048,0.7363811481619087,24.4
GunPointOldVersusYoung,0.940952380952381,0.939414678834045,45.8
GunPointMaleVersusFemale,0.989240506329114,0.9885602085226526,45.4
GunPointAgeSpan,0.9170886075949367,0.9084156061480954,42.0
GunPoint,0.8746666666666667,0.8864194378360076,35.2
GesturePebbleZ2,0.1518987341772152,0.04395604395604396,10.4
GesturePebbleZ1,0.16279069767441862,0.04666666666666667,10.4
GestureMidAirD3,0.04153846153846154,0.007998469192499044,12.2
